Country,Turnout,Enforcement,Year
Singapore,94.61,Strict,2001
Singapore,95.91,Strict,1997
Singapore,95.03,Strict,1991
Singapore,94.70,Strict,1988
Singapore,95.59,Strict,1984
Singapore,95.48,Strict,1980
Singapore,95.10,Strict,1976
Singapore,82.15,Strict,1972
Singapore,94.09,Strict,1968
United Kingdom,67.55,Voluntary,2019
United Kingdom,69.31,Voluntary,2017
United Kingdom,66.34,Voluntary,2015
United Kingdom,65.77,Voluntary,2010
United Kingdom,61.36,Voluntary,2005
United Kingdom,59.38,Voluntary,2001
United Kingdom,71.46,Voluntary,1997
United Kingdom,77.83,Voluntary,1992
United Kingdom,75.42,Voluntary,1987
United Kingdom,72.81,Voluntary,1983
United Kingdom,76.00,Voluntary,1979
United Kingdom,72.93,Voluntary,1974
United Kingdom,72.15,Voluntary,1970
United Kingdom,75.96,Voluntary,1966
United Kingdom,77.17,Voluntary,1964
United Kingdom,78.71,Voluntary,1959
United Kingdom,76.78,Voluntary,1955
United Kingdom,81.89,Voluntary,1951
United Kingdom,83.61,Voluntary,1950
United Kingdom,72.55,Voluntary,1945
