Time,Activity,Value
5.833333333,Sleep and rest,90
5.833333333,Personal care,3.4
5.833333333,Paid work,1.6
5.833333333,Travel,1.7
5.833333333,Unpaid household work,0.9
5.833333333,Unpaid care,0.2
5.833333333,Watching television,0.4
5.833333333,Entertainment and leisure,1.1
5.833333333,Education and study,0
5.833333333,Other,0.7
6,Sleep and rest,82.5
6,Personal care,7.7
6,Paid work,2.5
6,Travel,1.3
6,Unpaid household work,2.4
6,Unpaid care,0.6
6,Watching television,0.4
6,Entertainment and leisure,1.8
6,Education and study,0.1
6,Other,0.7
6.166666667,Sleep and rest,80.7
6.166666667,Personal care,7.8
6.166666667,Paid work,2.6
6.166666667,Travel,1.7
6.166666667,Unpaid household work,3
6.166666667,Unpaid care,0.5
6.166666667,Watching television,0.5
6.166666667,Entertainment and leisure,2.2
6.166666667,Education and study,0.1
6.166666667,Other,1
6.333333333,Sleep and rest,78.5
6.333333333,Personal care,9
6.333333333,Paid work,2.8
6.333333333,Travel,2
6.333333333,Unpaid household work,3.2
6.333333333,Unpaid care,0.6
6.333333333,Watching television,0.5
6.333333333,Entertainment and leisure,2.6
6.333333333,Education and study,0.1
6.333333333,Other,0.7
6.5,Sleep and rest,71
6.5,Personal care,13.7
6.5,Paid work,3.5
6.5,Travel,2.6
6.5,Unpaid household work,4.4
6.5,Unpaid care,0.9
6.5,Watching television,0.5
6.5,Entertainment and leisure,3.2
6.5,Education and study,0
6.5,Other,0.3
6.666666667,Sleep and rest,69.1
6.666666667,Personal care,14.5
6.666666667,Paid work,3.6
6.666666667,Travel,2.7
6.666666667,Unpaid household work,4.7
6.666666667,Unpaid care,1.1
6.666666667,Watching television,0.6
6.666666667,Entertainment and leisure,3.5
6.666666667,Education and study,0
6.666666667,Other,0.2
6.833333333,Sleep and rest,67.8
6.833333333,Personal care,14
6.833333333,Paid work,4.1
6.833333333,Travel,3
6.833333333,Unpaid household work,5.1
6.833333333,Unpaid care,1.1
6.833333333,Watching television,1.1
6.833333333,Entertainment and leisure,3.6
6.833333333,Education and study,0
6.833333333,Other,0.2
7,Sleep and rest,52.6
7,Personal care,21.5
7,Paid work,5.8
7,Travel,4.2
7,Unpaid household work,8.3
7,Unpaid care,2.2
7,Watching television,1
7,Entertainment and leisure,3.9
7,Education and study,0
7,Other,0.5
7.166666667,Sleep and rest,50.4
7.166666667,Personal care,21
7.166666667,Paid work,6.4
7.166666667,Travel,4.8
7.166666667,Unpaid household work,8.5
7.166666667,Unpaid care,2.3
7.166666667,Watching television,1.3
7.166666667,Entertainment and leisure,4.7
7.166666667,Education and study,0.1
7.166666667,Other,0.5
7.333333333,Sleep and rest,48.7
7.333333333,Personal care,20.5
7.333333333,Paid work,6.8
7.333333333,Travel,5.8
7.333333333,Unpaid household work,8.8
7.333333333,Unpaid care,2.4
7.333333333,Watching television,1.3
7.333333333,Entertainment and leisure,5.1
7.333333333,Education and study,0.1
7.333333333,Other,0.6
7.5,Sleep and rest,40.6
7.5,Personal care,23.3
7.5,Paid work,8.6
7.5,Travel,7.4
7.5,Unpaid household work,10.2
7.5,Unpaid care,2.4
7.5,Watching television,1.4
7.5,Entertainment and leisure,5.5
7.5,Education and study,0
7.5,Other,0.6
7.666666667,Sleep and rest,38.9
7.666666667,Personal care,22.9
7.666666667,Paid work,9.5
7.666666667,Travel,8.9
7.666666667,Unpaid household work,9.8
7.666666667,Unpaid care,2.5
7.666666667,Watching television,1.5
7.666666667,Entertainment and leisure,5.5
7.666666667,Education and study,0.1
7.666666667,Other,0.4
7.833333333,Sleep and rest,37.6
7.833333333,Personal care,22.1
7.833333333,Paid work,10.9
7.833333333,Travel,9.4
7.833333333,Unpaid household work,9.7
7.833333333,Unpaid care,2.7
7.833333333,Watching television,1.7
7.833333333,Entertainment and leisure,5.2
7.833333333,Education and study,0.1
7.833333333,Other,0.6
8,Sleep and rest,26.4
8,Personal care,24.7
8,Paid work,16.3
8,Travel,10
8,Unpaid household work,11.3
8,Unpaid care,2.7
8,Watching television,1.6
8,Entertainment and leisure,5.8
8,Education and study,0.3
8,Other,0.8
8.166666667,Sleep and rest,24.8
8.166666667,Personal care,24.7
8.166666667,Paid work,17.5
8.166666667,Travel,10.3
8.166666667,Unpaid household work,11.2
8.166666667,Unpaid care,2.7
8.166666667,Watching television,1.6
8.166666667,Entertainment and leisure,6.5
8.166666667,Education and study,0.3
8.166666667,Other,0.5
8.333333333,Sleep and rest,23.3
8.333333333,Personal care,22.8
8.333333333,Paid work,19.1
8.333333333,Travel,11.1
8.333333333,Unpaid household work,11.7
8.333333333,Unpaid care,2.7
8.333333333,Watching television,1.6
8.333333333,Entertainment and leisure,6.7
8.333333333,Education and study,0.3
8.333333333,Other,0.7
8.5,Sleep and rest,18.3
8.5,Personal care,22.5
8.5,Paid work,24.2
8.5,Travel,11.8
8.5,Unpaid household work,11.5
8.5,Unpaid care,1.9
8.5,Watching television,1.4
8.5,Entertainment and leisure,7.5
8.5,Education and study,0.3
8.5,Other,0.6
8.666666667,Sleep and rest,17.6
8.666666667,Personal care,21.1
8.666666667,Paid work,26
8.666666667,Travel,11.4
8.666666667,Unpaid household work,11.1
8.666666667,Unpaid care,1.5
8.666666667,Watching television,2.1
8.666666667,Entertainment and leisure,7.9
8.666666667,Education and study,0.4
8.666666667,Other,0.8
8.833333333,Sleep and rest,17
8.833333333,Personal care,19.3
8.833333333,Paid work,27.7
8.833333333,Travel,10.5
8.833333333,Unpaid household work,12.4
8.833333333,Unpaid care,1.7
8.833333333,Watching television,2
8.833333333,Entertainment and leisure,8.4
8.833333333,Education and study,0.4
8.833333333,Other,0.7
9,Sleep and rest,11.3
9,Personal care,17.5
9,Paid work,34.4
9,Travel,7.5
9,Unpaid household work,15.2
9,Unpaid care,1.7
9,Watching television,2.2
9,Entertainment and leisure,7.7
9,Education and study,1.7
9,Other,0.9
9.166666667,Sleep and rest,10.6
9.166666667,Personal care,16.9
9.166666667,Paid work,35.8
9.166666667,Travel,6.6
9.166666667,Unpaid household work,16.2
9.166666667,Unpaid care,1.7
9.166666667,Watching television,2.1
9.166666667,Entertainment and leisure,7.8
9.166666667,Education and study,1.6
9.166666667,Other,0.7
9.333333333,Sleep and rest,10.4
9.333333333,Personal care,15.6
9.333333333,Paid work,36.9
9.333333333,Travel,6.3
9.333333333,Unpaid household work,16.3
9.333333333,Unpaid care,1.6
9.333333333,Watching television,2.1
9.333333333,Entertainment and leisure,8.5
9.333333333,Education and study,1.6
9.333333333,Other,0.8
9.5,Sleep and rest,8.2
9.5,Personal care,13.5
9.5,Paid work,38.7
9.5,Travel,6
9.5,Unpaid household work,18.3
9.5,Unpaid care,1.4
9.5,Watching television,2.4
9.5,Entertainment and leisure,8.9
9.5,Education and study,1.7
9.5,Other,1
9.666666667,Sleep and rest,8.2
9.666666667,Personal care,12.9
9.666666667,Paid work,39.4
9.666666667,Travel,5.4
9.666666667,Unpaid household work,18.2
9.666666667,Unpaid care,1.5
9.666666667,Watching television,2.2
9.666666667,Entertainment and leisure,9.3
9.666666667,Education and study,1.7
9.666666667,Other,1.1
9.833333333,Sleep and rest,8.1
9.833333333,Personal care,11.8
9.833333333,Paid work,39.4
9.833333333,Travel,5.6
9.833333333,Unpaid household work,18.4
9.833333333,Unpaid care,1.9
9.833333333,Watching television,2.4
9.833333333,Entertainment and leisure,9.7
9.833333333,Education and study,1.8
9.833333333,Other,1.1
10,Sleep and rest,5.9
10,Personal care,12.3
10,Paid work,40.2
10,Travel,5.5
10,Unpaid household work,19.4
10,Unpaid care,1.7
10,Watching television,2.3
10,Entertainment and leisure,10
10,Education and study,1.8
10,Other,1
10.16666667,Sleep and rest,5.6
10.16666667,Personal care,11.1
10.16666667,Paid work,40.5
10.16666667,Travel,5.6
10.16666667,Unpaid household work,19.7
10.16666667,Unpaid care,2
10.16666667,Watching television,2.6
10.16666667,Entertainment and leisure,10
10.16666667,Education and study,2
10.16666667,Other,0.9
10.33333333,Sleep and rest,5.3
10.33333333,Personal care,10.7
10.33333333,Paid work,40.8
10.33333333,Travel,5.2
10.33333333,Unpaid household work,19.6
10.33333333,Unpaid care,2.1
10.33333333,Watching television,2.5
10.33333333,Entertainment and leisure,10.7
10.33333333,Education and study,2
10.33333333,Other,1
10.5,Sleep and rest,4.6
10.5,Personal care,10
10.5,Paid work,40.6
10.5,Travel,6.6
10.5,Unpaid household work,19.1
10.5,Unpaid care,2.4
10.5,Watching television,2.3
10.5,Entertainment and leisure,11.3
10.5,Education and study,2.1
10.5,Other,1
10.66666667,Sleep and rest,4.6
10.66666667,Personal care,9.3
10.66666667,Paid work,41.3
10.66666667,Travel,6.1
10.66666667,Unpaid household work,19.9
10.66666667,Unpaid care,2.5
10.66666667,Watching television,2.2
10.66666667,Entertainment and leisure,10.6
10.66666667,Education and study,2.3
10.66666667,Other,1.1
10.83333333,Sleep and rest,4.7
10.83333333,Personal care,8.9
10.83333333,Paid work,41.4
10.83333333,Travel,5.6
10.83333333,Unpaid household work,20.4
10.83333333,Unpaid care,2.6
10.83333333,Watching television,2.1
10.83333333,Entertainment and leisure,10.8
10.83333333,Education and study,2.4
10.83333333,Other,1.1
11,Sleep and rest,3.5
11,Personal care,9.8
11,Paid work,41
11,Travel,6.7
11,Unpaid household work,21
11,Unpaid care,2.4
11,Watching television,1.7
11,Entertainment and leisure,10.8
11,Education and study,2.2
11,Other,0.9
11.16666667,Sleep and rest,3.3
11.16666667,Personal care,10
11.16666667,Paid work,41.1
11.16666667,Travel,5.8
11.16666667,Unpaid household work,21.7
11.16666667,Unpaid care,2.1
11.16666667,Watching television,1.9
11.16666667,Entertainment and leisure,10.9
11.16666667,Education and study,2.4
11.16666667,Other,0.9
11.33333333,Sleep and rest,3.3
11.33333333,Personal care,9.6
11.33333333,Paid work,41.1
11.33333333,Travel,6
11.33333333,Unpaid household work,22.2
11.33333333,Unpaid care,2.1
11.33333333,Watching television,1.8
11.33333333,Entertainment and leisure,10.6
11.33333333,Education and study,2.2
11.33333333,Other,1
11.5,Sleep and rest,2.9
11.5,Personal care,8.4
11.5,Paid work,41
11.5,Travel,6.6
11.5,Unpaid household work,22.6
11.5,Unpaid care,2
11.5,Watching television,2.1
11.5,Entertainment and leisure,11.1
11.5,Education and study,2.2
11.5,Other,1
11.66666667,Sleep and rest,2.9
11.66666667,Personal care,8.8
11.66666667,Paid work,40.8
11.66666667,Travel,6.1
11.66666667,Unpaid household work,22.7
11.66666667,Unpaid care,2.1
11.66666667,Watching television,2.1
11.66666667,Entertainment and leisure,11.3
11.66666667,Education and study,2.2
11.66666667,Other,0.9
11.83333333,Sleep and rest,2.9
11.83333333,Personal care,8.7
11.83333333,Paid work,40.8
11.83333333,Travel,5.9
11.83333333,Unpaid household work,23
11.83333333,Unpaid care,2.3
11.83333333,Watching television,2.2
11.83333333,Entertainment and leisure,11.1
11.83333333,Education and study,2.2
11.83333333,Other,0.9
12,Sleep and rest,2.2
12,Personal care,12.4
12,Paid work,37.1
12,Travel,5.8
12,Unpaid household work,23.8
12,Unpaid care,2.4
12,Watching television,2.7
12,Entertainment and leisure,10.5
12,Education and study,2.1
12,Other,1
12.16666667,Sleep and rest,2
12.16666667,Personal care,14
12.16666667,Paid work,36.8
12.16666667,Travel,5.3
12.16666667,Unpaid household work,22.9
12.16666667,Unpaid care,2.2
12.16666667,Watching television,2.7
12.16666667,Entertainment and leisure,10.9
12.16666667,Education and study,2.2
12.16666667,Other,1
12.33333333,Sleep and rest,1.9
12.33333333,Personal care,15.2
12.33333333,Paid work,36.2
12.33333333,Travel,5.6
12.33333333,Unpaid household work,22.5
12.33333333,Unpaid care,1.7
12.33333333,Watching television,3
12.33333333,Entertainment and leisure,10.9
12.33333333,Education and study,2.1
12.33333333,Other,0.9
12.5,Sleep and rest,1.7
12.5,Personal care,17.8
12.5,Paid work,33.3
12.5,Travel,5.8
12.5,Unpaid household work,22.2
12.5,Unpaid care,1.7
12.5,Watching television,3.2
12.5,Entertainment and leisure,11.4
12.5,Education and study,2
12.5,Other,1
12.66666667,Sleep and rest,1.7
12.66666667,Personal care,18.4
12.66666667,Paid work,33.2
12.66666667,Travel,5.9
12.66666667,Unpaid household work,20.7
12.66666667,Unpaid care,1.8
12.66666667,Watching television,3.5
12.66666667,Entertainment and leisure,11.4
12.66666667,Education and study,2
12.66666667,Other,1.3
12.83333333,Sleep and rest,1.9
12.83333333,Personal care,19.1
12.83333333,Paid work,33.2
12.83333333,Travel,5.4
12.83333333,Unpaid household work,21.1
12.83333333,Unpaid care,2.3
12.83333333,Watching television,3.8
12.83333333,Entertainment and leisure,10.4
12.83333333,Education and study,1.9
12.83333333,Other,1.1
13,Sleep and rest,2.2
13,Personal care,18.2
13,Paid work,33.5
13,Travel,5.4
13,Unpaid household work,20.9
13,Unpaid care,2
13,Watching television,4.2
13,Entertainment and leisure,9.8
13,Education and study,2.3
13,Other,1.3
13.16666667,Sleep and rest,2.5
13.16666667,Personal care,19.1
13.16666667,Paid work,33.4
13.16666667,Travel,5.4
13.16666667,Unpaid household work,19.4
13.16666667,Unpaid care,1.8
13.16666667,Watching television,4.5
13.16666667,Entertainment and leisure,10.4
13.16666667,Education and study,2.3
13.16666667,Other,1.2
13.33333333,Sleep and rest,2.7
13.33333333,Personal care,18.4
13.33333333,Paid work,33.2
13.33333333,Travel,5.2
13.33333333,Unpaid household work,19.4
13.33333333,Unpaid care,1.8
13.33333333,Watching television,4.6
13.33333333,Entertainment and leisure,11.1
13.33333333,Education and study,2.5
13.33333333,Other,1.2
13.5,Sleep and rest,3
13.5,Personal care,15.5
13.5,Paid work,34.4
13.5,Travel,4.7
13.5,Unpaid household work,20
13.5,Unpaid care,2.1
13.5,Watching television,4.9
13.5,Entertainment and leisure,12
13.5,Education and study,2.2
13.5,Other,1.1
13.66666667,Sleep and rest,2.9
13.66666667,Personal care,14.1
13.66666667,Paid work,35
13.66666667,Travel,5.1
13.66666667,Unpaid household work,20.1
13.66666667,Unpaid care,2.2
13.66666667,Watching television,5.3
13.66666667,Entertainment and leisure,12.2
13.66666667,Education and study,2.3
13.66666667,Other,1
13.83333333,Sleep and rest,2.8
13.83333333,Personal care,13.1
13.83333333,Paid work,36.2
13.83333333,Travel,5
13.83333333,Unpaid household work,20.3
13.83333333,Unpaid care,1.9
13.83333333,Watching television,5.4
13.83333333,Entertainment and leisure,12.2
13.83333333,Education and study,2.3
13.83333333,Other,0.9
14,Sleep and rest,2.7
14,Personal care,8.9
14,Paid work,38.9
14,Travel,6.5
14,Unpaid household work,20.6
14,Unpaid care,1.8
14,Watching television,5.4
14,Entertainment and leisure,11.9
14,Education and study,2.5
14,Other,0.8
14.16666667,Sleep and rest,2.6
14.16666667,Personal care,8.3
14.16666667,Paid work,39.7
14.16666667,Travel,6.3
14.16666667,Unpaid household work,20
14.16666667,Unpaid care,1.7
14.16666667,Watching television,5.7
14.16666667,Entertainment and leisure,12.2
14.16666667,Education and study,2.5
14.16666667,Other,1
14.33333333,Sleep and rest,2.9
14.33333333,Personal care,7.5
14.33333333,Paid work,40
14.33333333,Travel,5.8
14.33333333,Unpaid household work,19.7
14.33333333,Unpaid care,1.8
14.33333333,Watching television,6
14.33333333,Entertainment and leisure,12.7
14.33333333,Education and study,2.7
14.33333333,Other,0.9
14.5,Sleep and rest,2.6
14.5,Personal care,7.3
14.5,Paid work,39.4
14.5,Travel,6.5
14.5,Unpaid household work,19.7
14.5,Unpaid care,1.9
14.5,Watching television,6
14.5,Entertainment and leisure,13
14.5,Education and study,2.9
14.5,Other,0.9
14.66666667,Sleep and rest,2.7
14.66666667,Personal care,7
14.66666667,Paid work,39.2
14.66666667,Travel,6.9
14.66666667,Unpaid household work,18.9
14.66666667,Unpaid care,2
14.66666667,Watching television,6.3
14.66666667,Entertainment and leisure,13.5
14.66666667,Education and study,2.8
14.66666667,Other,0.7
14.83333333,Sleep and rest,2.7
14.83333333,Personal care,6
14.83333333,Paid work,39.3
14.83333333,Travel,7.7
14.83333333,Unpaid household work,19
14.83333333,Unpaid care,2.2
14.83333333,Watching television,6.1
14.83333333,Entertainment and leisure,13.2
14.83333333,Education and study,2.8
14.83333333,Other,0.9
15,Sleep and rest,2.9
15,Personal care,6.1
15,Paid work,37.7
15,Travel,9.3
15,Unpaid household work,17.8
15,Unpaid care,2.8
15,Watching television,5.8
15,Entertainment and leisure,13.4
15,Education and study,2.9
15,Other,1.4
15.16666667,Sleep and rest,2.9
15.16666667,Personal care,6.7
15.16666667,Paid work,37.7
15.16666667,Travel,8.8
15.16666667,Unpaid household work,17.2
15.16666667,Unpaid care,3.2
15.16666667,Watching television,5.9
15.16666667,Entertainment and leisure,13.5
15.16666667,Education and study,2.6
15.16666667,Other,1.3
15.33333333,Sleep and rest,3
15.33333333,Personal care,5.8
15.33333333,Paid work,37.7
15.33333333,Travel,9
15.33333333,Unpaid household work,16.8
15.33333333,Unpaid care,3.5
15.33333333,Watching television,6.3
15.33333333,Entertainment and leisure,14.5
15.33333333,Education and study,2.4
15.33333333,Other,1
15.5,Sleep and rest,3.3
15.5,Personal care,5
15.5,Paid work,37.1
15.5,Travel,8.5
15.5,Unpaid household work,16.7
15.5,Unpaid care,4.2
15.5,Watching television,6.6
15.5,Entertainment and leisure,15
15.5,Education and study,2.7
15.5,Other,1
15.66666667,Sleep and rest,3.4
15.66666667,Personal care,5.1
15.66666667,Paid work,36.9
15.66666667,Travel,7.5
15.66666667,Unpaid household work,17.7
15.66666667,Unpaid care,4.2
15.66666667,Watching television,6.6
15.66666667,Entertainment and leisure,14.7
15.66666667,Education and study,2.8
15.66666667,Other,1.1
15.83333333,Sleep and rest,3.4
15.83333333,Personal care,5.4
15.83333333,Paid work,36.5
15.83333333,Travel,6.6
15.83333333,Unpaid household work,18.7
15.83333333,Unpaid care,4.3
15.83333333,Watching television,6.5
15.83333333,Entertainment and leisure,14.9
15.83333333,Education and study,2.9
15.83333333,Other,0.9
16,Sleep and rest,2.8
16,Personal care,5.9
16,Paid work,34.1
16,Travel,8.2
16,Unpaid household work,19.8
16,Unpaid care,4.4
16,Watching television,7.1
16,Entertainment and leisure,14.3
16,Education and study,2.5
16,Other,0.8
16.16666667,Sleep and rest,3
16.16666667,Personal care,6.5
16.16666667,Paid work,33.6
16.16666667,Travel,6.9
16.16666667,Unpaid household work,19.7
16.16666667,Unpaid care,4.6
16.16666667,Watching television,7
16.16666667,Entertainment and leisure,14.9
16.16666667,Education and study,2.5
16.16666667,Other,1.2
16.33333333,Sleep and rest,3.1
16.33333333,Personal care,6.6
16.33333333,Paid work,32.6
16.33333333,Travel,7.7
16.33333333,Unpaid household work,19.8
16.33333333,Unpaid care,5
16.33333333,Watching television,6.7
16.33333333,Entertainment and leisure,14.5
16.33333333,Education and study,2.6
16.33333333,Other,1.4
16.5,Sleep and rest,3.2
16.5,Personal care,6.2
16.5,Paid work,28.1
16.5,Travel,10.9
16.5,Unpaid household work,21.8
16.5,Unpaid care,4.7
16.5,Watching television,6.6
16.5,Entertainment and leisure,14.8
16.5,Education and study,2.5
16.5,Other,1.2
16.66666667,Sleep and rest,3.3
16.66666667,Personal care,6.8
16.66666667,Paid work,27.7
16.66666667,Travel,10.5
16.66666667,Unpaid household work,22.2
16.66666667,Unpaid care,4.5
16.66666667,Watching television,6.7
16.66666667,Entertainment and leisure,14.6
16.66666667,Education and study,2.3
16.66666667,Other,1.3
16.83333333,Sleep and rest,3.3
16.83333333,Personal care,7.4
16.83333333,Paid work,27.2
16.83333333,Travel,9.9
16.83333333,Unpaid household work,22.9
16.83333333,Unpaid care,4.6
16.83333333,Watching television,6.9
16.83333333,Entertainment and leisure,14.8
16.83333333,Education and study,1.8
16.83333333,Other,1.2
17,Sleep and rest,3.2
17,Personal care,9.8
17,Paid work,21
17,Travel,11.1
17,Unpaid household work,25.1
17,Unpaid care,4.6
17,Watching television,7.3
17,Entertainment and leisure,14.9
17,Education and study,1.7
17,Other,1.4
17.16666667,Sleep and rest,2.9
17.16666667,Personal care,11.2
17.16666667,Paid work,19.6
17.16666667,Travel,10.2
17.16666667,Unpaid household work,25.4
17.16666667,Unpaid care,4.8
17.16666667,Watching television,7.6
17.16666667,Entertainment and leisure,15.1
17.16666667,Education and study,1.7
17.16666667,Other,1.4
17.33333333,Sleep and rest,2.9
17.33333333,Personal care,12
17.33333333,Paid work,18.4
17.33333333,Travel,9.9
17.33333333,Unpaid household work,26
17.33333333,Unpaid care,4.7
17.33333333,Watching television,8.3
17.33333333,Entertainment and leisure,14.8
17.33333333,Education and study,1.6
17.33333333,Other,1.4
17.5,Sleep and rest,2.7
17.5,Personal care,15.3
17.5,Paid work,14
17.5,Travel,10.2
17.5,Unpaid household work,27
17.5,Unpaid care,4.4
17.5,Watching television,8.6
17.5,Entertainment and leisure,15
17.5,Education and study,1.6
17.5,Other,1.1
17.66666667,Sleep and rest,2.6
17.66666667,Personal care,16.3
17.66666667,Paid work,13.5
17.66666667,Travel,9.9
17.66666667,Unpaid household work,27.3
17.66666667,Unpaid care,4
17.66666667,Watching television,9.2
17.66666667,Entertainment and leisure,15.2
17.66666667,Education and study,1.4
17.66666667,Other,0.7
17.83333333,Sleep and rest,2.5
17.83333333,Personal care,17.1
17.83333333,Paid work,13.1
17.83333333,Travel,9.4
17.83333333,Unpaid household work,26.2
17.83333333,Unpaid care,4.2
17.83333333,Watching television,9.9
17.83333333,Entertainment and leisure,15.4
17.83333333,Education and study,1.4
17.83333333,Other,0.9
18,Sleep and rest,2
18,Personal care,21
18,Paid work,9.8
18,Travel,8.7
18,Unpaid household work,25.1
18,Unpaid care,4.3
18,Watching television,12.1
18,Entertainment and leisure,14.8
18,Education and study,1.3
18,Other,0.9
18.16666667,Sleep and rest,2.2
18.16666667,Personal care,22
18.16666667,Paid work,9.1
18.16666667,Travel,7.2
18.16666667,Unpaid household work,23.7
18.16666667,Unpaid care,4
18.16666667,Watching television,13.3
18.16666667,Entertainment and leisure,15.6
18.16666667,Education and study,1.3
18.16666667,Other,1.6
18.33333333,Sleep and rest,2.4
18.33333333,Personal care,21.6
18.33333333,Paid work,8.7
18.33333333,Travel,6.7
18.33333333,Unpaid household work,23.6
18.33333333,Unpaid care,4.1
18.33333333,Watching television,13.9
18.33333333,Entertainment and leisure,16.1
18.33333333,Education and study,1.3
18.33333333,Other,1.6
18.5,Sleep and rest,2.4
18.5,Personal care,21
18.5,Paid work,7.2
18.5,Travel,7.5
18.5,Unpaid household work,21.8
18.5,Unpaid care,4.8
18.5,Watching television,15.2
18.5,Entertainment and leisure,17.1
18.5,Education and study,1.3
18.5,Other,1.6
18.66666667,Sleep and rest,2.2
18.66666667,Personal care,20.1
18.66666667,Paid work,6.8
18.66666667,Travel,7.1
18.66666667,Unpaid household work,21.7
18.66666667,Unpaid care,5.1
18.66666667,Watching television,16.2
18.66666667,Entertainment and leisure,17.9
18.66666667,Education and study,1.4
18.66666667,Other,1.5
18.83333333,Sleep and rest,2
18.83333333,Personal care,19.2
18.83333333,Paid work,6.2
18.83333333,Travel,6.9
18.83333333,Unpaid household work,21.2
18.83333333,Unpaid care,5.4
18.83333333,Watching television,17.3
18.83333333,Entertainment and leisure,18.9
18.83333333,Education and study,1.3
18.83333333,Other,1.6
19,Sleep and rest,2.4
19,Personal care,19.6
19,Paid work,5.6
19,Travel,6.2
19,Unpaid household work,18.8
19,Unpaid care,5.7
19,Watching television,20.4
19,Entertainment and leisure,18.7
19,Education and study,1.3
19,Other,1.4
19.16666667,Sleep and rest,2.3
19.16666667,Personal care,19.3
19.16666667,Paid work,5.3
19.16666667,Travel,5.6
19.16666667,Unpaid household work,17.3
19.16666667,Unpaid care,6.3
19.16666667,Watching television,21.8
19.16666667,Entertainment and leisure,19.6
19.16666667,Education and study,1.3
19.16666667,Other,1.2
19.33333333,Sleep and rest,2.1
19.33333333,Personal care,17.9
19.33333333,Paid work,5.3
19.33333333,Travel,4.9
19.33333333,Unpaid household work,16.8
19.33333333,Unpaid care,6.2
19.33333333,Watching television,24.4
19.33333333,Entertainment and leisure,19.8
19.33333333,Education and study,1.2
19.33333333,Other,1.1
19.5,Sleep and rest,1.9
19.5,Personal care,17.8
19.5,Paid work,5.1
19.5,Travel,3.9
19.5,Unpaid household work,14.9
19.5,Unpaid care,5.6
19.5,Watching television,28.2
19.5,Entertainment and leisure,20.2
19.5,Education and study,1.2
19.5,Other,1.3
19.66666667,Sleep and rest,2.2
19.66666667,Personal care,16.4
19.66666667,Paid work,5
19.66666667,Travel,3.6
19.66666667,Unpaid household work,13
19.66666667,Unpaid care,5.3
